species,tau_h,kappa,y_th,fwhm,peak6,p2m,A_L,published
A. pennsylvanica,2.0,10,0.25,4,0.3872046098198403,2.0396650894404003,0.637570680847753,False
A. pennsylvanica,2.0,10,0.3,4,0.38995555956532496,2.047617758496522,0.7134954771979782,False
A. pennsylvanica,2.0,10,0.4,4,0.4148488341325234,2.2224999409293664,0.7935342529900581,False
A. pennsylvanica,2.0,10,0.5,5,0.4524835140225038,2.284803659096128,0.7734095610063433,False
A. pennsylvanica,2.0,10,0.6,6,0.49296190213816765,2.3156213810691346,0.676260504972919,False
A. pennsylvanica,2.0,30,0.25,5,0.4674970867734217,2.439716946905855,0.798500068654662,False
A. pennsylvanica,2.0,30,0.3,4,0.45130108169961913,2.553961153843334,0.9019606516286903,False
A. pennsylvanica,2.0,30,0.4,4,0.45245520350999463,2.7003853821863975,0.9637064184159252,False
A. pennsylvanica,2.0,30,0.5,4,0.46204555591079,2.6853480749771044,0.922764059511974,False
A. pennsylvanica,2.0,30,0.6,4,0.47722386935258,2.5048037498560514,0.7892067919218868,False
A. pennsylvanica,2.0,60,0.25,5,0.4870493533800386,2.4988207705300836,0.8587828072123443,False
A. pennsylvanica,2.0,60,0.3,4,0.46049338753994107,2.6306948874672464,0.9339528644502341,False
A. pennsylvanica,2.0,60,0.4,4,0.4577836297363575,2.7450243991219025,0.9792209089114264,False
A. pennsylvanica,2.0,60,0.5,3,0.4670738611546123,2.744684759400207,0.9546697115889095,False
A. pennsylvanica,2.0,60,0.6,4,0.46812979527667203,2.636559484417567,0.8576097888580579,False
A. pennsylvanica,3.0,10,0.25,5,0.3969827129048611,1.9815760201628616,0.6462329801232594,False
A. pennsylvanica,3.0,10,0.3,4,0.41054619149027693,2.094820739578545,0.7409824019226662,True
A. pennsylvanica,3.0,10,0.4,5,0.44322733284806093,2.200743610672468,0.8541251015234211,False
A. pennsylvanica,3.0,10,0.5,6,0.4815345445167872,2.303058129862478,0.8546839453974167,False
A. pennsylvanica,3.0,10,0.6,6,0.5136149352261553,2.380996523168595,0.7493541719456251,False
A. pennsylvanica,3.0,30,0.25,5,0.4603129960026956,2.3679765522626344,0.7886125063754528,False
A. pennsylvanica,3.0,30,0.3,5,0.46277039041724366,2.3797030242270374,0.9208644742491597,False
A. pennsylvanica,3.0,30,0.4,4,0.48091798869014485,2.585082684082781,1.0089858979089281,False
A. pennsylvanica,3.0,30,0.5,4,0.49305808557828773,2.653446381757552,0.9739301203812967,False
A. pennsylvanica,3.0,30,0.6,5,0.5060541489384173,2.540824553186465,0.8380507844252165,False
A. pennsylvanica,3.0,60,0.25,5,0.47564203227492624,2.43599862515703,0.8400321865689663,False
A. pennsylvanica,3.0,60,0.3,5,0.4709554354356204,2.444415186830618,0.9483809181081543,False
A. pennsylvanica,3.0,60,0.4,5,0.48565995199052286,2.6260303295320986,1.0150397057697202,False
A. pennsylvanica,3.0,60,0.5,4,0.49651375393454006,2.7108255655415685,0.9851808812789541,False
A. pennsylvanica,3.0,60,0.6,4,0.49530439288570954,2.6488030347341924,0.8824482588701003,False
S. grossa,0.5,10,0.25,13,0.34183548741936043,1.7567325741651663,0.41987579903436223,False
S. grossa,0.5,10,0.3,9,0.32208900696691806,1.7604479075529753,0.4371924810403215,False
S. grossa,0.5,10,0.4,7,0.319112932316139,1.8409433143985012,0.45513170590214946,False
